Timestamp,Duration,Model type,Dataset use,Image Resize,Epochs,Learning rate,Batch size,Train Accuracy,Validation accuracy,Test Accuracy
2023-06-07 14:43:59,00:00:31,resnet18,Train,224*224,2,0.1,8,35.1,30.77,32.08
2023-06-07 15:08:00,00:09:09,resnet18,Train,224*224,32,0.001,8,97.36,90.38,98.11
2023-06-07 15:20:59,00:00:40,resnet18,Train,224*224,2,0.001,8,71.21,56.67,56.67
2023-06-07 15:23:41,00:00:27,resnet18,Train_clean,224*224,2,0.001,8,66.67,75.0,75.0
2023-06-07 15:39:16,00:00:22,Team model,Train,224*224,2,0.01,8,28.21,23.33,23.33
2023-06-07 15:49:39,00:00:21,Team model,Train,224*224,2,0.01,8,28.98,23.33,23.33
2023-06-07 15:57:56,00:03:47,Team model,Train,224*224,16,0.001,8,55.66,50.83,50.83
2023-06-07 16:00:53,00:01:05,resnet18,Train_clean,224*224,4,0.001,8,69.28,58.62,58.62
2023-06-07 20:23:16,00:00:28,resnet18,Train_clean,224*224,2,0.001,8,58.26,58.62,58.62
2023-06-07 22:32:53,02:05:46,resnet18,Train_clean,224*224,512,0.0001,8,99.13,77.59,77.59
2023-06-07 22:52:44,00:00:24,Team model,Train,224*224,2,0.001,8,36.3,46.15,45.28
2023-06-08 02:02:40,02:54:24,Team model,Train,224*224,1000,0.0001,8,63.46,73.08,79.25
2023-06-08 09:57:53,00:00:11,Team model,Train,224*224,1,0.01,8,26.68,28.85,20.75
2023-06-08 10:29:48,00:00:09,Team model,Train,224*224,1,0.01,8,30.29,46.15,35.85
2023-06-08 12:00:27,00:00:20,Team model,Train,224*224,1,0.01,8,25.72,28.85,30.19
2023-06-08 12:06:35,00:00:17,Team model,Train,224*224,1,0.01,8,22.6,34.62,35.85
2023-06-08 12:59:53,00:02:21,resnet18,Train_gezond,224*224,9,0.01,8,82.97,85.29,88.57
2023-06-08 13:17:36,00:10:15,resnet18,Train_gezond,224*224,50,0.001,8,95.64,91.89,89.47
2023-06-08 13:37:43,00:08:26,resnet18,Train_clean_2,224*224,50,0.001,8,97.13,93.33,84.38
2023-06-14 18:43:33,02:10:56,resnet18,Train_big_data,224*224,50,0.001,8,99.69,98.97,97.94
2023-06-15 01:45:40,03:27:37,resnet18,Train_big_data,224*224,100,0.001,8,99.21,96.83,98.16
2023-06-15 18:28:27,00:21:51,resnet18,Train_big_data,224*224,10,0.0001,8,99.27,97.57,97.83
2023-06-15 21:10:52,00:51:28,resnet18,Train_big_data,224*224,10,0.001,8,97.07,98.19,97.55
2023-06-15 21:21:21,00:05:01,resnet18,Train_big_data,224*224,1,0.1,8,51.66,57.74,58.04
2023-06-16 06:09:59,08:26:20,resnet18,Train_big_data,224*224,100,0.0001,8,100.0,99.68,99.89
2023-06-19 05:21:09,04:11:54,resnet18,Train_big_data,224*224,50,0.0001,8,99.93,99.79,99.68
2023-06-20 12:22:44,00:06:01,resnet18,Test_aql_2_group,224*224,2,0.0001,8,99.75,100.0,99.5
2023-06-20 13:55:41,00:17:54,Team model,Train_big_data,224*224,5,0.0001,8,59.29,85.14,85.37
2023-06-20 14:35:53,00:00:55,Team model,Train,224*224,5,0.0001,8,43.51,59.62,49.06
2023-06-20 19:45:58,00:03:19,Team model,Train_hoss_4,224*224,2,0.1,8,46.73,63.26,63.43
2023-06-20 19:49:33,00:04:33,resnet18,Train_hoss_4,224*224,2,0.01,8,10.71,9.3,8.33
2023-06-20 22:01:33,00:19:17,resnet18,Train_hoss_4,224*224,10,0.0001,64,99.51,98.14,98.84
2023-06-20 22:26:33,00:12:58,Team model,Train_hoss_4,224*224,10,0.0001,64,63.8,88.6,88.89
2023-06-20 22:46:43,00:12:49,Team model,Train_hoss_2,224*224,10,0.0001,64,85.69,90.23,92.82
2023-06-20 23:55:13,00:26:06,Team model,Train_hoss_4,224*224,10,0.0001,64,65.17,90.93,91.9
2023-06-21 01:37:21,01:31:30,Team model,Train_hoss_4,224*224,50,0.0001,64,68.65,96.51,95.83
2023-06-21 01:41:30,01:43:51,resnet18,Train_hoss_4,224*224,10,0.0001,64,99.62,99.3,99.31
2023-06-21 07:06:52,00:19:39,resnet18,Train_hoss_2,224*224,10,0.0001,64,99.83,99.3,99.31
2023-06-21 07:46:57,00:29:13,Team model,Train_hoss_2,224*224,10,0.0001,64,84.41,91.63,93.75
2023-06-21 08:35:35,01:13:39,resnet18,Train_hoss_2,224*224,10,0.0001,64,99.88,100.0,99.07
2023-06-21 17:34:33,05:38:59,resnet18,Train_hoss_4,224*224,50,0.0001,64,99.97,99.53,99.31
2023-06-22 02:18:59,05:30:25,resnet18,Train_hoss_2,224*224,50,0.0001,64,99.94,99.77,100.00
